,PC1,PC2,PC3,PC4,PC5
Lung-0026J,-57.840766197628334,-12.251133174602847,-44.56333665185459,-33.038762071739406,-16.731574508301286
VU271-CRC,-87.43057103447885,-42.2072422041006,-43.02606932953206,-11.587006319583203,21.083848408422437
Lung-0029J-1-WT,-67.50405164531722,-9.135560312562223,17.67129748488657,9.265136803012014,6.652065627063462
Lung-0030J-1-WT,-72.45598348730576,21.117972838349658,36.656707050845654,1.0097512866824812,-30.784743522849062
Lung-0037,-14.696497598421384,-25.089798462087494,-35.60272707493057,-35.59620074339011,-40.40168301525762
Lung-0040,-63.72486113533312,-14.00742506563943,-27.791601784067083,-32.91459744925669,-34.64274674532572
Lung-0042,-107.31981328353343,-32.14766825707109,-55.25731604771977,22.600753948995596,-2.8753398422259573
Lung-0046,14.121572526876708,-34.048202544981436,-46.487148165516636,-45.70206442672121,-20.571511403095442
Lung-0058-EGFR,-29.79640645492705,-4.772692103954866,23.717925686358935,9.118114315559538,-3.424850686047967
Lung-0061-EGFR,-35.17433537645127,13.73952697220552,30.107784122709365,-3.3844953404498748,-28.404748939004566
Lung-0062-EGFR,-81.83929374983646,-13.150939628513253,20.925363042917198,7.7517451349053985,4.4988006827786045
Lung-0074-EGFR,131.5210648272225,-39.460873184389214,18.363725624495075,-25.728315265498196,-11.608361789936447
Lung-L-13,-30.59079043123846,1.310109128085845,25.144646914570355,-10.140271334208906,-9.115465610786222
Lung-L-15,-24.343572547101004,-5.852070426277735,17.45528139333194,9.906275466746564,5.63398821928207
Lung-L-26,-74.97166004781272,4.853816661814102,13.448280455618978,11.76159890268119,-14.816013781933044
Lung-L-33,-78.78571033870148,-0.2324099780432837,21.987138739051392,9.317700359630297,-11.982257999696
Lung-L-4,-47.02217984114819,-5.193933100752586,30.145678978223664,-5.879294952193498,-10.118374978675623
VU260-CRC,-85.16735346458239,-12.485459350336209,-34.261811404138534,-19.68781449366994,-27.071050014844175
286-Pancr-286-WT,58.949041643149535,-21.43213471345879,27.931215420397113,-30.47171622683689,16.060178379529834
314-Pancr-WT,-40.33130863848912,-13.324228220634588,28.174890820348118,-15.25558745075367,12.802663321089687
